"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_1041c6","AarSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p"
"Running","AdobeARMservice","Adobe Acrobat Update Service","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"""
"Running","AdobeUpdateService","AdobeUpdateService","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe"""
"Running","AGMService","Adobe Genuine Monitor Service","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe"""
"Running","AGSService","Adobe Genuine Software Integrity Service","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe"""
"Stopped","AJRouter","AllJoyn Router Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","ALG","Application Layer Gateway Service","C:\WINDOWS\System32\alg.exe"
"Stopped","AppIDSvc","Application Identity","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","Appinfo","Application Information","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","Apple Mobile Device Service","Apple Mobile Device Service","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe"""
"Running","AppMgmt","Application Management","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","AppReadiness","App Readiness","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p"
"Stopped","AppVClient","Microsoft App-V Client","C:\WINDOWS\system32\AppVClient.exe"
"Stopped","AppXSvc","AppX Deployment Service (AppXSVC)","C:\WINDOWS\system32\svchost.exe -k wsappx -p"
"Running","asComSvc","ASUS Com Service","""C:\Program Files (x86)\ASUS\AXSP\4.00.38\atkexComSvc.exe"""
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc"
"Running","AsSysCtrlService","ASUS System Control Service","C:\Program Files (x86)\ASUS\AsSysCtrlService\1.00.22\AsSysCtrlService.exe"
"Running","AsusUpdateCheck","AsusUpdateCheck","C:\WINDOWS\System32\AsusUpdateCheck.exe"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","Audiosrv","Windows Audio","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","autotimesvc","Cellular Time","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup"
"Stopped","BcastDVRUserService_1041c6","BcastDVRUserService_1041c6","C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService"
"Stopped","BDESVC","BitLocker Drive Encryption Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","BEService","BattlEye Service","""C:\Program Files (x86)\Common Files\BattlEye\BEService.exe"""
"Running","BFE","Base Filtering Engine","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Stopped","BITS","Background Intelligent Transfer Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","BluetoothUserService_1041c6","BluetoothUserService_1041c6","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"Running","BTAGService","Bluetooth Audio Gateway Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted"
"Running","BthAvctpSvc","AVCTP service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","bthserv","Bluetooth Support Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","CAMService","CAM Service","""C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\target\x86_64-pc-windows-msvc\release\service.exe"""
"Running","camsvc","Capability Access Manager Service","C:\WINDOWS\system32\svchost.exe -k osprivacy -p"
"Running","CaptureService_1041c6","CaptureService_1041c6","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","cbdhsvc_1041c6","cbdhsvc_1041c6","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p"
"Running","CDPSvc","Connected Devices Platform Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","CDPUserSvc_1041c6","CDPUserSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"Stopped","CertPropSvc","Certificate Propagation","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"Running","chromoting","Chrome Remote Desktop Service","""C:\Program Files (x86)\Google\Chrome Remote Desktop\99.0.4844.11\remoting_host.exe"" --type=daemon --host-config=""C:\ProgramData\Google\Chrome Remote Desktop\host.json"""
"Stopped","ClipSVC","Client License Service (ClipSVC)","C:\WINDOWS\System32\svchost.exe -k wsappx -p"
"Stopped","cloudidsvc","Microsoft Cloud Identity Service","C:\WINDOWS\system32\svchost.exe -k CloudIdServiceGroup -p"
"Stopped","COMSysApp","COM+ System Application","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"Stopped","ConsentUxUserSvc_1041c6","ConsentUxUserSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"Running","CoreMessagingRegistrar","CoreMessaging","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"Stopped","CredentialEnrollmentManagerUserSvc_1041c6","CredentialEnrollmentManagerUserSvc_1041c6","C:\WINDOWS\system32\CredentialEnrollmentManager.exe"
"Running","CryptSvc","Cryptographic Services","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"Stopped","CscService","Offline Files","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DcomLaunch","DCOM Server Process Launcher","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"Stopped","defragsvc","Optimize drives","C:\WINDOWS\system32\svchost.exe -k defragsvc"
"Stopped","DeviceAssociationBrokerSvc_1041c6","DeviceAssociationBrokerSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p"
"Running","DeviceAssociationService","Device Association Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DeviceInstall","Device Install Service","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"Stopped","DevicePickerUserSvc_1041c6","DevicePickerUserSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"Running","DevicesFlowUserSvc_1041c6","DevicesFlowUserSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","Dhcp","DHCP Client","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","C:\WINDOWS\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"Stopped","diagsvc","Diagnostic Execution Service","C:\WINDOWS\System32\svchost.exe -k diagnostics"
"Running","DiagTrack","Connected User Experiences and Telemetry","C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"Stopped","DialogBlockingService","DialogBlockingService","C:\WINDOWS\system32\svchost.exe -k DialogBlockingService"
"Running","DispBrokerDesktopSvc","Display Policy Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","DisplayEnhancementService","Display Enhancement Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","Dnscache","DNS Client","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"Stopped","DoSvc","Delivery Optimization","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"Stopped","dot3svc","Wired AutoConfig","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DPS","Diagnostic Policy Service","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Stopped","DsmSvc","Device Setup Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","DsSvc","Data Sharing Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","DusmSvc","Data Usage","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","EABackgroundService","EABackgroundService","""C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EABackgroundService.exe"" -start"
"Stopped","EapHost","Extensible Authentication Protocol","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","EasyAntiCheat","EasyAntiCheat","""C:\Program Files (x86)\EasyAntiCheat\EasyAntiCheat.exe"""
"Stopped","EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","""C:\Program Files (x86)\EasyAntiCheat_EOS\EasyAntiCheat_EOS.exe"""
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
"Running","EFS","Encrypting File System (EFS)","C:\WINDOWS\System32\lsass.exe"
"Stopped","embeddedmode","Embedded Mode","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","EntAppSvc","Enterprise App Management Service","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
"Stopped","EQU8_19","EQU8_19","""C:\ProgramData\EQU8\Totally Accurate Battlegrounds\bin\anticheat.x64.equ8.exe"""
"Running","EventLog","Windows Event Log","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","EventSystem","COM+ Event System","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Stopped","Fax","Fax","C:\WINDOWS\system32\fxssvc.exe"
"Stopped","fdPHost","Function Discovery Provider Host","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Stopped","FDResPub","Function Discovery Resource Publication","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Stopped","fhsvc","File History Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","FontCache","Windows Font Cache Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Stopped","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"Stopped","FrameServer","Windows Camera Frame Server","C:\WINDOWS\System32\svchost.exe -k Camera"
"Stopped","FrameServerMonitor","Windows Camera Frame Server Monitor","C:\WINDOWS\System32\svchost.exe -k CameraMonitor"
"Stopped","FvSvc","NVIDIA FrameView SDK service","""C:\Program Files\NVIDIA Corporation\FrameViewSDK\nvfvsdksvc_x64.exe"" -service"
"Running","GamingServices","Gaming Services","""C:\Program Files\WindowsApps\Microsoft.GamingServices_3.63.22003.0_x64__8wekyb3d8bbwe\GamingServices.exe"""
"Running","GamingServicesNet","Gaming Services","""C:\Program Files\WindowsApps\Microsoft.GamingServices_3.63.22003.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"""
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","""C:\Program Files (x86)\Google\Chrome\Application\99.0.4844.82\elevation_service.exe"""
"Stopped","gpsvc","Group Policy Client","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc","C:\WINDOWS\System32\svchost.exe -k GraphicsPerfSvcGroup"
"Stopped","gupdate","Google Update Service (gupdate)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc"
"Stopped","gupdatem","Google Update Service (gupdatem)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc"
"Running","hasplms","Sentinel LDK License Manager","""C:\Program Files (x86)\Common Files\Aladdin Shared\HASP\hasplms.exe""  -run"
"Stopped","HgClientService","Host Guardian Client Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Running","hidserv","Human Interface Device Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","HNS","Host Network Service","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p"
"Running","HvHost","HV Host Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","icssvc","Windows Mobile Hotspot Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","InstallService","Microsoft Store Install Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Running","iphlpsvc","IP Helper","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"Running","IpOverUsbSvc","Windows Phone IP over USB Transport (IpOverUsbSvc)","""C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe"""
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","KeyIso","CNG Key Isolation","C:\WINDOWS\system32\lsass.exe"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator","C:\WINDOWS\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"Running","LanmanServer","Server","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","LanmanWorkstation","Workstation","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"Running","lfsvc","Geolocation Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","LGHUBUpdaterService","LGHUB Updater Service","""C:\Program Files\LGHUB\lghub_updater.exe"" --run-as-service"
"Running","LicenseManager","Windows License Manager Service","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"Running","lmhosts","TCP/IP NetBIOS Helper","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","LSM","Local Session Manager","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"Stopped","LxpSvc","Language Experience Service","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"Running","LxssManager","LxssManager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","MapsBroker","Downloaded Maps Manager","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"Stopped","McpManagementService","McpManagementService",
"Stopped","MessagingService_1041c6","MessagingService_1041c6","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","""C:\Program Files (x86)\Microsoft\Edge\Application\99.0.1150.46\elevation_service.exe"""
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","MozillaMaintenance","Mozilla Maintenance Service","""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe"""
"Running","mpssvc","Windows Defender Firewall","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Stopped","MSDTC","Distributed Transaction Coordinator","C:\WINDOWS\System32\msdtc.exe"
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","msiserver","Windows Installer","C:\WINDOWS\system32\msiexec.exe /V"
"Stopped","MsKeyboardFilter","Microsoft Keyboard Filter","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","NaturalAuthentication","Natural Authentication","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","NcaSvc","Network Connectivity Assistant","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"Running","NcbService","Network Connection Broker","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Stopped","Netlogon","Netlogon","C:\WINDOWS\system32\lsass.exe"
"Stopped","Netman","Network Connections","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","netprofm","Network List Service","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"Stopped","NetSetupSvc","Network Setup Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"Running","NgcCtnrSvc","Microsoft Passport Container","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","NgcSvc","Microsoft Passport","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","NlaSvc","Network Location Awareness","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"Running","NPSMSvc_1041c6","NPSMSvc_1041c6",
"Running","nsi","Network Store Interface Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","nvagent","Network Virtualization Service","C:\WINDOWS\system32\svchost.exe -k NetSvcs"
"Running","NvBroadcast.ContainerLocalSystem","NVIDIA Broadcast LocalSystem Container","""C:\Program Files\NVIDIA Corporation\NvBroadcast.NvContainer\NvBroadcast.Container.exe"" -s NvBroadcast.ContainerLocalSystem -f ""C:\ProgramData\NVIDIA\NvBroadcast.ContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvBroadcast.NvContainer\plugins\LocalSystem"" -r -p 30000 "
"Running","NvContainerLocalSystem","NVIDIA LocalSystem Container","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -f ""C:\ProgramData\NVIDIA\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"""
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_3b12ac0f95b18b9d\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_3b12ac0f95b18b9d\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem"
